2.11	149.91	128.308
2.12	150.617	128.811
2.13	151.324	129.313
2.14	152.032	129.814
2.15	152.739	130.314
2.16	153.446	130.813
2.17	154.153	131.311
2.18	154.86	131.808
2.19	155.567	132.304
2.2	156.274	132.8
2.21	156.981	133.294
2.22	157.688	133.787
2.23	158.396	134.279
2.24	159.103	134.771
2.25	159.81	135.261
2.26	160.517	135.751
2.27	161.224	136.239
2.28	161.931	136.727
2.29	162.638	137.213
2.3	163.345	137.699
2.31	164.053	138.183
2.32	164.76	138.667
2.33	165.467	139.15
2.34	166.174	139.631
2.35	166.881	140.112
2.36	167.588	140.592
2.37	168.295	141.071
2.38	169.002	141.549
2.39	169.71	142.026
2.4	170.417	142.502
2.41	171.124	142.977
2.42	171.831	143.451
2.43	172.538	143.924
2.44	173.245	144.396
2.45	173.952	144.867
2.46	174.659	145.338
2.47	175.367	145.807
2.48	176.074	146.275
2.49	176.781	146.742
2.5	177.488	147.209
2.51	178.195	147.674
2.52	178.902	148.139
2.53	179.609	148.602
2.54	180.316	149.065
2.55	181.024	149.526
2.56	181.731	149.987
2.57	182.438	150.446
2.58	183.145	150.905
2.59	183.852	151.363
2.6	184.559	151.82
2.61	185.266	152.275
2.62	185.973	152.73
2.63	186.681	153.184
2.64	187.388	153.637
2.65	188.095	154.089
2.66	188.802	154.54
2.67	189.509	154.99
2.68	190.216	155.439
2.69	190.923	155.887
2.7	191.63	156.334
2.71	192.338	156.781
2.72	193.045	157.226
2.73	193.752	157.67
2.74	194.459	158.113
2.75	195.166	158.556
2.76	195.873	158.997
2.77	196.58	159.438
2.78	197.287	159.877
2.79	197.995	160.316
2.8	198.702	160.753
2.81	199.409	161.19
2.82	200.116	161.625
2.83	200.823	162.06
2.84	201.53	162.494
2.85	202.237	162.926
2.86	202.944	163.358
2.87	203.652	163.789
2.88	204.359	164.219
2.89	205.066	164.648
2.9	205.773	165.076
2.91	206.48	165.503
2.92	207.187	165.929
2.93	207.894	166.354
2.94	208.601	166.778
2.95	209.308	167.201
2.96	210.016	167.623
2.97	210.723	168.044
2.98	211.43	168.465
2.99	212.137	168.884
3	212.844	169.302
3.01	213.551	169.72
3.02	214.258	170.136
3.03	214.965	170.551
3.04	215.673	170.966
3.05	216.38	171.379
3.06	217.087	171.792
3.07	217.794	172.204
3.08	218.501	172.614
3.09	219.208	173.024
3.1	219.915	173.433
3.11	220.622	173.84
3.12	221.33	174.247
3.13	222.037	174.653
3.14	222.744	175.058
3.15	223.451	175.462
3.16	224.158	175.865
3.17	224.865	176.267
3.18	225.572	176.668
3.19	226.279	177.068
3.2	226.987	177.467
3.21	227.694	177.865
3.22	228.401	178.262
3.23	229.108	178.659
3.24	229.815	179.054
3.25	230.522	179.448
3.26	231.229	179.842
3.27	231.936	180.234
3.28	232.644	180.625
3.29	233.351	181.016
3.3	234.058	181.405
3.31	234.765	181.794
3.32	235.472	182.181
3.33	236.179	182.568
3.34	236.886	182.954
3.35	237.593	183.338
3.36	238.301	183.722
3.37	239.008	184.105
3.38	239.715	184.487
3.39	240.422	184.868
3.4	241.129	185.247
3.41	241.836	185.626
3.42	242.543	186.004
3.43	243.25	186.381
3.44	243.958	186.757
3.45	244.665	187.133
3.46	245.372	187.507
3.47	246.079	187.88
3.48	246.786	188.252
3.49	247.493	188.623
3.5	248.2	188.994
3.51	248.907	189.363
3.52	249.615	189.731
3.53	250.322	190.099
3.54	251.029	190.465
3.55	251.736	190.831
3.56	252.443	191.195
3.57	253.15	191.559
3.58	253.857	191.921
3.59	254.564	192.283
3.6	255.272	192.644
3.61	255.979	193.003
3.62	256.686	193.362
3.63	257.393	193.72
3.64	258.1	194.077
3.65	258.807	194.432
3.66	259.514	194.787
3.67	260.221	195.141
3.68	260.929	195.494
3.69	261.636	195.846
3.7	262.343	196.197
3.71	263.05	196.548
3.72	263.757	196.897
3.73	264.464	197.245
3.74	265.171	197.592
3.75	265.878	197.938
3.76	266.585	198.284
3.77	267.293	198.628
3.78	268	198.971
3.79	268.707	199.314
3.8	269.414	199.655
3.81	270.121	199.996
3.82	270.828	200.335
3.83	271.535	200.674
3.84	272.242	201.011
3.85	272.95	201.348
3.86	273.657	201.684
3.87	274.364	202.019
3.88	275.071	202.352
3.89	275.778	202.685
3.9	276.485	203.017
3.91	277.192	203.348
3.92	277.899	203.678
3.93	278.607	204.007
3.94	279.314	204.335
3.95	280.021	204.662
3.96	280.728	204.988
3.97	281.435	205.313
3.98	282.142	205.637
3.99	282.849	205.96
4	283.556	206.283
4.01	284.264	206.604
4.02	284.971	206.924
4.03	285.678	207.244
4.04	286.385	207.562
4.05	287.092	207.879
4.06	287.799	208.196
4.07	288.506	208.511
4.08	289.213	208.826
4.09	289.921	209.14
4.1	290.628	209.452
4.11	291.335	209.764
4.12	292.042	210.075
4.13	292.749	210.384
4.14	293.456	210.693
4.15	294.163	211.001
4.16	294.87	211.308
4.17	295.578	211.614
4.18	296.285	211.919
4.19	296.992	212.223
4.2	297.699	212.526
4.21	298.406	212.828
4.22	299.113	213.129
4.23	299.82	213.429
4.24	300.527	213.728
4.25	301.235	214.026
4.26	301.942	214.324
4.27	302.649	214.62
4.28	303.356	214.915
4.29	304.063	215.21
4.3	304.77	215.503
4.31	305.477	215.796
4.32	306.184	216.087
4.33	306.892	216.378
4.34	307.599	216.667
4.35	308.306	216.956
4.36	309.013	217.243
4.37	309.72	217.53
4.38	310.427	217.816
4.39	311.134	218.101
4.4	311.841	218.384
4.41	312.549	218.667
4.42	313.256	218.949
4.43	313.963	219.23
4.44	314.67	219.51
4.45	315.377	219.789
4.46	316.084	220.067
4.47	316.791	220.344
4.48	317.498	220.62
4.49	318.206	220.896
4.5	318.913	221.17
4.51	319.62	221.443
4.52	320.327	221.715
4.53	321.034	221.987
4.54	321.741	222.257
4.55	322.448	222.526
4.56	323.155	222.795
4.57	323.863	223.062
4.58	324.57	223.329
4.59	325.277	223.594
4.6	325.984	223.859
4.61	326.691	224.123
4.62	327.398	224.385
4.63	328.105	224.647
4.64	328.812	224.908
4.65	329.519	225.167
4.66	330.227	225.426
4.67	330.934	225.684
4.68	331.641	225.941
4.69	332.348	226.197
4.7	333.055	226.452
4.71	333.762	226.706
4.72	334.469	226.959
4.73	335.176	227.211
4.74	335.884	227.462
4.75	336.591	227.712
4.76	337.298	227.962
4.77	338.005	228.21
4.78	338.712	228.457
4.79	339.419	228.704
4.8	340.126	228.949
4.81	340.833	229.193
4.82	341.541	229.437
4.83	342.248	229.679
4.84	342.955	229.921
4.85	343.662	230.161
4.86	344.369	230.401
4.87	345.076	230.64
4.88	345.783	230.877
4.89	346.49	231.114
4.9	347.198	231.35
4.91	347.905	231.585
4.92	348.612	231.819
4.93	349.319	232.051
4.94	350.026	232.283
4.95	350.733	232.514
4.96	351.44	232.744
4.97	352.147	232.973
4.98	352.855	233.201
4.99	353.562	233.429
5	354.269	233.655
5.01	354.976	233.88
5.02	355.683	234.104
5.03	356.39	234.327
5.04	357.097	234.55
5.05	357.804	234.771
5.06	358.512	234.991
5.07	359.219	235.211
5.08	359.926	235.429
5.09	360.633	235.647
5.1	361.34	235.863
5.11	362.047	236.079
5.12	362.754	236.294
5.13	363.461	236.507
5.14	364.169	236.72
5.15	364.876	236.932
5.16	365.583	237.143
5.17	366.29	237.352
5.18	366.997	237.561
5.19	367.704	237.769
5.2	368.411	237.976
5.21	369.118	238.182
5.22	369.826	238.387
5.23	370.533	238.591
5.24	371.24	238.794
5.25	371.947	238.996
5.26	372.654	239.198
5.27	373.361	239.398
5.28	374.068	239.597
5.29	374.775	239.795
5.3	375.483	239.993
5.31	376.19	240.189
5.32	376.897	240.385
5.33	377.604	240.579
5.34	378.311	240.772
5.35	379.018	240.965
5.36	379.725	241.157
5.37	380.432	241.347
5.38	381.14	241.537
5.39	381.847	241.726
5.4	382.554	241.913
5.41	383.261	242.1
5.42	383.968	242.286
5.43	384.675	242.471
5.44	385.382	242.655
5.45	386.089	242.838
5.46	386.797	243.019
5.47	387.504	243.2
5.48	388.211	243.381
5.49	388.918	243.56
5.5	389.625	243.738
5.51	390.332	243.915
5.52	391.039	244.091
5.53	391.746	244.266
5.54	392.453	244.441
5.55	393.161	244.614
5.56	393.868	244.786
5.57	394.575	244.958
5.58	395.282	245.128
5.59	395.989	245.298
5.6	396.696	245.466
5.61	397.403	245.634
5.62	398.11	245.8
5.63	398.818	245.966
5.64	399.525	246.131
5.65	400.232	246.294
5.66	400.939	246.457
5.67	401.646	246.619
5.68	402.353	246.78
5.69	403.06	246.939
5.7	403.767	247.098
5.71	404.475	247.256
5.72	405.182	247.413
5.73	405.889	247.569
5.74	406.596	247.724
5.75	407.303	247.878
5.76	408.01	248.032
5.77	408.717	248.184
5.78	409.424	248.335
5.79	410.132	248.485
5.8	410.839	248.635
5.81	411.546	248.783
5.82	412.253	248.93
5.83	412.96	249.077
5.84	413.667	249.222
5.85	414.374	249.367
5.86	415.081	249.51
5.87	415.789	249.653
5.88	416.496	249.794
5.89	417.203	249.935
5.9	417.91	250.075
5.91	418.617	250.213
5.92	419.324	250.351
5.93	420.031	250.488
5.94	420.738	250.624
5.95	421.446	250.759
5.96	422.153	250.893
5.97	422.86	251.026
5.98	423.567	251.158
5.99	424.274	251.289
6	424.981	251.419
6.01	425.688	251.548
6.02	426.395	251.676
6.03	427.103	251.803
6.04	427.81	251.929
6.05	428.517	252.055
6.06	429.224	252.179
6.07	429.931	252.302
6.08	430.638	252.425
6.09	431.345	252.546
6.1	432.052	252.667
6.11	432.76	252.786
6.12	433.467	252.905
6.13	434.174	253.022
6.14	434.881	253.139
6.15	435.588	253.255
6.16	436.295	253.369
6.17	437.002	253.483
6.18	437.709	253.596
6.19	438.417	253.708
6.2	439.124	253.819
6.21	439.831	253.929
6.22	440.538	254.038
6.23	441.245	254.146
6.24	441.952	254.253
6.25	442.659	254.359
6.26	443.366	254.464
6.27	444.074	254.568
6.28	444.781	254.671
6.29	445.488	254.773
6.3	446.195	254.874
6.31	446.902	254.975
6.32	447.609	255.074
6.33	448.316	255.173
6.34	449.023	255.27
6.35	449.731	255.366
6.36	450.438	255.462
6.37	451.145	255.556
6.38	451.852	255.65
6.39	452.559	255.743
6.4	453.266	255.834
6.41	453.973	255.925
6.42	454.68	256.015
6.43	455.388	256.103
6.44	456.095	256.191
6.45	456.802	256.278
6.46	457.509	256.364
